window_sec,n_seeds,n_records,R2_mean,R2_std,correlation_mean,correlation_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std,bias_mean,bias_std
0.5,5,1280,0.3085652470588684,0.006679022193822473,0.5578151533461442,0.0052346339678149565,0.46886110305786133,0.0039052623324096203,0.6064640283584595,0.002923489548265934,0.012973335571587086,0.019526440650224686
1.0,5,1280,0.49803671836853025,0.0034935715753458903,0.7071985975528446,0.0027300891988153216,0.3882189393043518,0.0029709632508456707,0.5167344212532043,0.001798479468561709,-0.004975324030965567,0.018346838653087616
1.5,5,1280,0.56478933095932,0.0043202997337038074,0.7527348570251516,0.0029671217259045657,0.3593965172767639,0.003578850533813238,0.48114830255508423,0.0023946536239236593,-0.02334572747349739,0.012269680388271809
2.0,5,1280,0.6023949444293976,0.003649083863891205,0.7775542758301808,0.0020986274329292255,0.34253692626953125,0.0030585280619561672,0.4598918855190277,0.002113723661750555,-0.027423659339547157,0.010206067003309727
2.5,5,1280,0.633186012506485,0.005634314881750917,0.7969695525830797,0.003516111157653757,0.32831040024757385,0.0037177354097366333,0.44171905517578125,0.0034008801449090242,-0.026159226894378662,0.012266017496585846
3.0,5,1280,0.650523567199707,0.0026725342539189486,0.807872932249013,0.0013439393518858273,0.32124894857406616,0.002183607779443264,0.43116140365600586,0.001652099541388452,-0.02826801873743534,0.014344240538775921
3.5,5,1280,0.6680758893489838,0.003634264142743831,0.8189034116789852,0.0018482392518947256,0.31102558970451355,0.001937965746037662,0.4201919138431549,0.002298373496159911,-0.03224390745162964,0.015024140477180481
4.0,5,1280,0.6820886552333831,0.004969332296362318,0.8273404995946685,0.002611736638565488,0.30486637353897095,0.0020963328424841166,0.41122156381607056,0.0032161767594516277,-0.030524903908371925,0.01743539422750473
4.5,5,1280,0.6971089661121368,0.0036727084830364422,0.8364528550323499,0.0019013976521900589,0.2983691692352295,0.002066963817924261,0.40139350295066833,0.002433739136904478,-0.029820065945386887,0.01952497847378254
5.0,5,1280,0.7101233541965485,0.004698080388457779,0.8443868494015774,0.002576186932118723,0.29335111379623413,0.0022383711766451597,0.3926708996295929,0.0031818116549402475,-0.030548378825187683,0.021327050402760506
5.5,5,1280,0.7176965475082397,0.00545150752892232,0.848697431875767,0.0028354119270949957,0.2911125719547272,0.002901960164308548,0.3875032663345337,0.0037442108150571585,-0.02716793492436409,0.02285080961883068
6.0,5,1280,0.720916473865509,0.0029882164080448125,0.8502565427324423,0.0020163600849581573,0.2891288995742798,0.0026198371779173613,0.3852970004081726,0.0020624897442758083,-0.02148345485329628,0.022197259590029716
