seed,window_sec,n,R2,correlation,MAE,RMSE,bias
10,0.5,1280,0.3091509938240051,0.5581798941232801,0.4655052,0.60621274,-0.009203431
10,1.0,1280,0.49668723344802856,0.7061772238283327,0.38633147,0.517431,-0.026857426
10,1.5,1280,0.5645508170127869,0.7529578984592665,0.35935506,0.4812849,-0.035448078
10,2.0,1280,0.598814994096756,0.7757880479775604,0.34262648,0.46196154,-0.039794747
10,2.5,1280,0.6290819346904755,0.7952031807657093,0.3273135,0.44419378,-0.041416366
10,3.0,1280,0.6485374271869659,0.8077208353139976,0.32018453,0.43238738,-0.045388915
10,3.5,1280,0.662693440914154,0.8170666992447403,0.31178513,0.42359018,-0.05096543
10,4.0,1280,0.6757590472698212,0.825290969484372,0.30546206,0.41530523,-0.053195395
10,4.5,1280,0.6939631700515747,0.836612431363189,0.29903376,0.40347844,-0.05497247
10,5.0,1280,0.7055409848690033,0.8440908569557621,0.29430923,0.39577278,-0.05852104
10,5.5,1280,0.712239682674408,0.8476860622423054,0.29306477,0.39124513,-0.05617706
10,6.0,1280,0.7195636928081512,0.8514207170331183,0.28973213,0.3862341,-0.051425744
20,0.5,1280,0.29765236377716064,0.5499515714188208,0.47472066,0.6112369,0.029942423
20,1.0,1280,0.5029576420783997,0.7099721749679377,0.38870245,0.51419777,-0.005879189
20,1.5,1280,0.5632252991199493,0.7514754842203215,0.36086148,0.48201686,-0.026994795
20,2.0,1280,0.6024939715862274,0.777477349684488,0.34327072,0.4598385,-0.031559527
20,2.5,1280,0.6324551105499268,0.796834821704095,0.32963297,0.44216937,-0.036033038
20,3.0,1280,0.6498897969722748,0.8082024061754414,0.32134107,0.4315547,-0.041899346
20,3.5,1280,0.6700542271137238,0.8210042114945817,0.3096597,0.41894284,-0.045894146
20,4.0,1280,0.6845073103904724,0.8296836021460513,0.30289602,0.4096643,-0.045354046
20,4.5,1280,0.6969661116600037,0.8373089269166353,0.29733524,0.40149403,-0.046776634
20,5.0,1280,0.7114963829517365,0.8461069092405422,0.29154986,0.3917501,-0.048118405
20,5.5,1280,0.7184866666793823,0.8501110848030657,0.28858203,0.38697505,-0.047092907
20,6.0,1280,0.7223113179206848,0.8515018275825217,0.28605393,0.38433734,-0.03797535
30,0.5,1280,0.3129560947418213,0.5605648705806883,0.46854886,0.60454094,0.013626906
30,1.0,1280,0.49335187673568726,0.7029961547177603,0.3904028,0.5191426,-0.0016444459
30,1.5,1280,0.562817394733429,0.7506995187134716,0.360565,0.48224187,-0.01973665
30,2.0,1280,0.6026537418365479,0.7768777231768135,0.3434775,0.4597461,-0.02168211
30,2.5,1280,0.6277088224887848,0.792568179737841,0.33295304,0.4450152,-0.015346071
30,3.0,1280,0.650282621383667,0.8067855271038319,0.32283768,0.43131253,-0.016490981
30,3.5,1280,0.6673349738121033,0.8175676157784976,0.31303233,0.42066565,-0.020106394
30,4.0,1280,0.6799236238002777,0.8250661375606186,0.30759963,0.41262951,-0.016179064
30,4.5,1280,0.6930242776870728,0.8331301651354769,0.30169362,0.40409687,-0.014698881
30,5.0,1280,0.7050533592700958,0.8403261609834036,0.29679793,0.39610034,-0.013605098
30,5.5,1280,0.7123529613018036,0.8446035735644954,0.29509863,0.3911681,-0.009195554
30,6.0,1280,0.7168540060520172,0.8472399541875174,0.2931582,0.38809556,-0.0015787855
40,0.5,1280,0.3148578405380249,0.5639843549899413,0.470306,0.6037037,0.034415085
40,1.0,1280,0.49826478958129883,0.7088793762392019,0.39146477,0.5166195,0.023006503
40,1.5,1280,0.5611473321914673,0.7507550625741314,0.36281013,0.48316208,-0.00393938
40,2.0,1280,0.5998120009899139,0.7764839697567878,0.34580413,0.46138716,-0.013220703
40,2.5,1280,0.6347065567970276,0.798239135897559,0.32887977,0.44081303,-0.0138952155
40,3.0,1280,0.6487859487533569,0.8066701647042321,0.3236991,0.4322345,-0.015219298
40,3.5,1280,0.6678238213062286,0.8181129080240173,0.3122713,0.42035645,-0.019476954
40,4.0,1280,0.6812719702720642,0.8260440315323558,0.30575997,0.41175947,-0.016915109
40,4.5,1280,0.701088011264801,0.8376332053266677,0.2966084,0.3987541,-0.013885898
40,5.0,1280,0.7126159071922302,0.8443755615884695,0.29260096,0.39098927,-0.012238747
40,5.5,1280,0.7204862236976624,0.8488753732999396,0.2903509,0.38559827,-0.006799145
40,6.0,1280,0.7210087776184082,0.849133102470066,0.28804478,0.38523766,-0.0030106977
50,0.5,1280,0.3082089424133301,0.5563950756179904,0.4652248,0.6066259,-0.0039143143
50,1.0,1280,0.49892204999923706,0.7079680580109905,0.38419333,0.516281,-0.013502061
50,1.5,1280,0.5722058117389679,0.7577863211585667,0.35339096,0.47703573,-0.030609736
50,2.0,1280,0.6082000136375427,0.7811442885552542,0.33750576,0.4565262,-0.030861203
50,2.5,1280,0.6419776380062103,0.802002444810194,0.3227728,0.43640384,-0.024105448
50,3.0,1280,0.6551220417022705,0.8099857279475621,0.31818238,0.42831787,-0.022341546
50,3.5,1280,0.6724729835987091,0.8207656238530889,0.30837956,0.4174044,-0.024776617
50,4.0,1280,0.6889813244342804,0.830617757249945,0.30261424,0.4067492,-0.020980911
50,4.5,1280,0.7005032598972321,0.83757954641978,0.29717487,0.39914393,-0.018766452
50,5.0,1280,0.7159101366996765,0.8470347582397103,0.29149762,0.38874188,-0.020258602
50,5.5,1280,0.7249172031879425,0.8522110654690288,0.28846645,0.38252974,-0.016575009
50,6.0,1280,0.7248445749282837,0.8519871123889884,0.28865537,0.38258022,-0.0134266885
