window_sec,n,R2,correlation,MAE,RMSE,bias
0.5,1280,0.2976539134979248,0.5499528209594859,0.4747242,0.6112362,0.02995779
1.0,1280,0.5029629170894623,0.7099762684946235,0.38869333,0.514195,-0.0058715134
1.5,1280,0.5632265508174896,0.7514759675186973,0.3608655,0.48201615,-0.026990544
2.0,1280,0.6024976968765259,0.7774803661625648,0.3432726,0.45983636,-0.03156509
2.5,1280,0.6324582695960999,0.796837538993903,0.32963625,0.4421675,-0.03604033
3.0,1280,0.6498852074146271,0.8082015669258007,0.3213454,0.43155754,-0.04191959
3.5,1280,0.6700597405433655,0.821009821127927,0.30965608,0.41893932,-0.04591644
4.0,1280,0.6845213174819946,0.8296947273653823,0.30288917,0.4096552,-0.045380183
4.5,1280,0.6969750821590424,0.8373162629352483,0.2973326,0.40148807,-0.04679555
5.0,1280,0.7114981412887573,0.8461105447354157,0.2915492,0.3917489,-0.048143215
5.5,1280,0.7184874415397644,0.8501137215005143,0.28858384,0.3869745,-0.04711395
6.0,1280,0.7223156690597534,0.8515061650976516,0.28605285,0.38433433,-0.037997205
