window_sec,n,R2,correlation,MAE,RMSE,bias
0.5,1280,0.3091509938240051,0.5581798941232801,0.4655052,0.60621274,-0.009203431
1.0,1280,0.49668723344802856,0.7061772238283327,0.38633147,0.517431,-0.026857426
1.5,1280,0.5645508170127869,0.7529578984592665,0.35935506,0.4812849,-0.035448078
2.0,1280,0.598814994096756,0.7757880479775604,0.34262648,0.46196154,-0.039794747
2.5,1280,0.6290819346904755,0.7952031807657093,0.3273135,0.44419378,-0.041416366
3.0,1280,0.6485374271869659,0.8077208353139976,0.32018453,0.43238738,-0.045388915
3.5,1280,0.662693440914154,0.8170666992447403,0.31178513,0.42359018,-0.05096543
4.0,1280,0.6757590472698212,0.825290969484372,0.30546206,0.41530523,-0.053195395
4.5,1280,0.6939631700515747,0.836612431363189,0.29903376,0.40347844,-0.05497247
5.0,1280,0.7055409848690033,0.8440908569557621,0.29430923,0.39577278,-0.05852104
5.5,1280,0.712239682674408,0.8476860622423054,0.29306477,0.39124513,-0.05617706
6.0,1280,0.7195636928081512,0.8514207170331183,0.28973213,0.3862341,-0.051425744
