window_sec,n,R2,correlation,MAE,RMSE,bias
0.5,1280,0.31484687328338623,0.563975752176521,0.4703082,0.6037085,0.034419842
1.0,1280,0.4982605576515198,0.7088752179858929,0.39146504,0.51662165,0.022989824
1.5,1280,0.561170369386673,0.7507681438320994,0.36279583,0.48314938,-0.0039692074
2.0,1280,0.59981569647789,0.7764853815217948,0.34579945,0.46138504,-0.013235125
2.5,1280,0.6347131133079529,0.798242025597493,0.32887548,0.44080907,-0.013903886
3.0,1280,0.6487824022769928,0.8066666602887,0.3236975,0.43223667,-0.015230554
3.5,1280,0.6678203046321869,0.8181100701914306,0.31226516,0.42035866,-0.019490961
4.0,1280,0.6812780797481537,0.8260468837658578,0.30574936,0.41175553,-0.016928595
4.5,1280,0.7010838985443115,0.8376304307056053,0.296606,0.3987568,-0.013903385
5.0,1280,0.7126029133796692,0.8443676886871366,0.2926091,0.3909981,-0.012250793
5.5,1280,0.7204841375350952,0.8488741031267001,0.29035112,0.38559973,-0.006816459
6.0,1280,0.7210100591182709,0.8491340010832172,0.28804797,0.3852368,-0.0030208067
