window_sec,n,R2,correlation,MAE,RMSE,bias
0.5,1280,0.31295251846313477,0.5605611429740275,0.4685486,0.6045425,0.013619417
1.0,1280,0.49335938692092896,0.7030009397677918,0.3903908,0.5191388,-0.0016669094
1.5,1280,0.56281378865242,0.7506984409620155,0.36056533,0.48224384,-0.01976357
2.0,1280,0.6026558876037598,0.7768811050144176,0.3434712,0.45974484,-0.021719681
2.5,1280,0.627708911895752,0.7925697868932108,0.33294788,0.44501516,-0.015392005
3.0,1280,0.650278627872467,0.8067850933199758,0.32283613,0.431315,-0.016536798
3.5,1280,0.6673346757888794,0.8175699738368817,0.31302816,0.42066583,-0.020150708
4.0,1280,0.6799302101135254,0.825072218629711,0.30759817,0.41262525,-0.016222507
4.5,1280,0.6930296123027802,0.8331353516672426,0.3016929,0.40409338,-0.014742193
5.0,1280,0.7050590217113495,0.8403311701165758,0.2967948,0.39609653,-0.0136445835
5.5,1280,0.7123576998710632,0.8446076001174418,0.2950983,0.39116487,-0.009235842
6.0,1280,0.7168624997138977,0.8472451423314333,0.29315194,0.38808975,-0.0016210094
