epoch,train_loss,val_mean_loss,val_0.5s,val_1s,val_2s,val_3s,val_4s,val_5s,val_6s
1,0.762797,0.405661,0.499672,0.452913,0.398273,0.375555,0.364256,0.370795,0.378163
2,0.520676,0.297853,0.433159,0.356063,0.276821,0.255494,0.242932,0.254193,0.266312
3,0.484252,0.295805,0.412709,0.348257,0.281655,0.261905,0.250715,0.254794,0.260598
4,0.461950,0.275743,0.420837,0.334203,0.261644,0.237844,0.218929,0.226105,0.230640
5,0.416929,0.287897,0.426100,0.339798,0.269794,0.249037,0.243318,0.243732,0.243500
6,0.402002,0.257723,0.368608,0.295483,0.244253,0.229705,0.216787,0.224486,0.224738
7,0.380343,0.244975,0.396861,0.295900,0.221793,0.204851,0.193286,0.199223,0.202913
8,0.374827,0.249117,0.436046,0.296021,0.219883,0.206024,0.193303,0.194594,0.197945
9,0.345108,0.277724,0.440793,0.331225,0.253587,0.233863,0.223723,0.226348,0.234527
10,0.317188,0.231182,0.397142,0.262501,0.196752,0.194734,0.183613,0.189088,0.194442
11,0.317522,0.231576,0.420750,0.267820,0.199499,0.193251,0.176874,0.177905,0.184934
12,0.313491,0.241246,0.381449,0.297737,0.221546,0.204540,0.194806,0.191706,0.196936
13,0.307167,0.236178,0.346855,0.280990,0.220464,0.209265,0.197257,0.197677,0.200739
14,0.297363,0.242204,0.401514,0.314292,0.223727,0.199239,0.186847,0.183260,0.186547
15,0.298307,0.211549,0.352730,0.267731,0.194352,0.177365,0.161769,0.161400,0.165497
16,0.277029,0.207841,0.344083,0.267489,0.193906,0.175098,0.159106,0.156245,0.158961
17,0.284489,0.228567,0.329405,0.264460,0.213058,0.206461,0.195762,0.193696,0.197125
18,0.269263,0.243617,0.322184,0.272827,0.228900,0.224460,0.215902,0.217934,0.223115
19,0.271540,0.223261,0.365731,0.287769,0.213365,0.189236,0.171431,0.167931,0.167367
20,0.262593,0.200374,0.332349,0.266637,0.197621,0.166150,0.149853,0.145268,0.144740
21,0.260693,0.212809,0.322630,0.252900,0.197205,0.184277,0.177169,0.176776,0.178703
22,0.261832,0.192615,0.317202,0.246271,0.182626,0.159029,0.148029,0.146124,0.149022
23,0.245619,0.199037,0.324552,0.253117,0.187553,0.164627,0.153539,0.151881,0.157988
24,0.256261,0.217243,0.301770,0.248173,0.209913,0.200401,0.190820,0.185001,0.184621
25,0.249574,0.189973,0.308184,0.239153,0.182695,0.160431,0.148033,0.144984,0.146330
26,0.245746,0.205415,0.296561,0.231963,0.188365,0.183140,0.178544,0.175828,0.183502
27,0.239828,0.181585,0.279966,0.223134,0.170131,0.158485,0.148763,0.143545,0.147074
28,0.239742,0.186558,0.284195,0.227866,0.176691,0.163367,0.152464,0.148579,0.152742
29,0.233040,0.192762,0.306044,0.246691,0.188015,0.165466,0.151056,0.145475,0.146590
30,0.229498,0.186958,0.304031,0.240443,0.180978,0.156984,0.142037,0.140934,0.143303
31,0.233046,0.188470,0.308438,0.243970,0.183017,0.156563,0.144108,0.139994,0.143202
32,0.228756,0.175394,0.281143,0.220175,0.164544,0.148399,0.139414,0.135140,0.138943
33,0.231149,0.170561,0.268111,0.222564,0.173607,0.148427,0.132292,0.124583,0.124341
34,0.232582,0.196352,0.282068,0.240341,0.188606,0.172568,0.161741,0.161328,0.167809
35,0.232223,0.178129,0.289715,0.232252,0.170094,0.150442,0.138489,0.132303,0.133611
36,0.224158,0.191164,0.299493,0.260335,0.185676,0.163065,0.147832,0.140963,0.140786
37,0.221975,0.178478,0.289644,0.228090,0.172889,0.154363,0.141323,0.132397,0.130639
38,0.218596,0.195216,0.305006,0.246301,0.185282,0.168593,0.157156,0.151367,0.152805
39,0.234681,0.178152,0.289645,0.234634,0.174996,0.153707,0.136970,0.129622,0.127488
40,0.223514,0.177855,0.276913,0.219647,0.170664,0.156018,0.144018,0.138096,0.139627
41,0.218946,0.190673,0.287139,0.240496,0.183619,0.165441,0.155812,0.149964,0.152243
42,0.214406,0.205718,0.271940,0.240817,0.196740,0.190343,0.181722,0.177632,0.180830
43,0.218697,0.163503,0.266569,0.211009,0.158947,0.139950,0.127833,0.120327,0.119884
44,0.216300,0.193062,0.289240,0.240991,0.184130,0.166311,0.158763,0.154674,0.157325
45,0.233139,0.185195,0.289512,0.233696,0.179747,0.159347,0.147717,0.143056,0.143289
46,0.216967,0.169681,0.261570,0.208507,0.163671,0.147411,0.139105,0.133896,0.133604
47,0.211155,0.172031,0.288399,0.221686,0.166318,0.143549,0.131885,0.126495,0.125887
48,0.217904,0.172459,0.271961,0.216797,0.167593,0.149458,0.137418,0.131549,0.132435
49,0.213043,0.164816,0.271768,0.215443,0.160397,0.139056,0.127419,0.120349,0.119283
50,0.212184,0.172515,0.302947,0.226479,0.163137,0.140960,0.128960,0.123458,0.121662
51,0.206816,0.166207,0.263984,0.212648,0.163238,0.143218,0.131065,0.125881,0.123418
52,0.210129,0.167241,0.284481,0.214380,0.164019,0.140112,0.125870,0.121793,0.120030
53,0.205757,0.170006,0.269559,0.215685,0.167348,0.146543,0.135345,0.128724,0.126837
54,0.212965,0.218596,0.269344,0.232416,0.220282,0.209261,0.197654,0.196829,0.204386
55,0.210077,0.167159,0.270450,0.218357,0.164965,0.141628,0.129672,0.123011,0.122030
56,0.219535,0.170287,0.278350,0.220774,0.166629,0.144313,0.132187,0.126384,0.123375
57,0.204876,0.166181,0.271231,0.218533,0.165106,0.140409,0.128002,0.121231,0.118757
58,0.207081,0.176336,0.272517,0.227377,0.171839,0.151594,0.140318,0.135510,0.135197
59,0.208386,0.162802,0.265629,0.215243,0.161256,0.137789,0.125302,0.118766,0.115631
60,0.207575,0.162302,0.263121,0.214787,0.162492,0.138849,0.125152,0.117430,0.114283
61,0.204798,0.193187,0.269506,0.235394,0.191287,0.174751,0.163830,0.159154,0.158387
62,0.207381,0.170340,0.262044,0.216912,0.163408,0.146448,0.137642,0.132704,0.133222
63,0.206117,0.199596,0.261403,0.226461,0.197945,0.186585,0.177348,0.173130,0.174302
64,0.205995,0.167741,0.262569,0.212994,0.163196,0.144967,0.134955,0.128958,0.126550
65,0.197285,0.177968,0.265418,0.220038,0.173919,0.158880,0.148329,0.141105,0.138089
66,0.203060,0.164127,0.266060,0.212634,0.163009,0.140091,0.127409,0.121116,0.118574
67,0.200887,0.166477,0.268162,0.211323,0.164245,0.142131,0.131641,0.124725,0.123113
68,0.205803,0.162934,0.273816,0.206130,0.156485,0.136555,0.126940,0.121564,0.119049
69,0.200627,0.161976,0.272940,0.209338,0.158323,0.135532,0.124189,0.118071,0.115442
70,0.200154,0.167724,0.279495,0.212857,0.161315,0.141261,0.129284,0.126189,0.123665
71,0.194844,0.169586,0.269752,0.211571,0.164064,0.145813,0.135596,0.130800,0.129506
72,0.198210,0.164357,0.278973,0.209299,0.159318,0.138772,0.126972,0.119819,0.117343
73,0.199672,0.170150,0.268576,0.211216,0.165158,0.147436,0.138116,0.131720,0.128831
74,0.196555,0.179835,0.269846,0.219570,0.175324,0.159411,0.148868,0.143916,0.141907
75,0.200380,0.158574,0.264201,0.205163,0.155788,0.135715,0.122188,0.114849,0.112113
76,0.196048,0.166546,0.282183,0.209785,0.158845,0.141545,0.129626,0.123247,0.120592
77,0.200347,0.173763,0.267500,0.227509,0.171318,0.150267,0.137134,0.131717,0.130893
78,0.196811,0.174413,0.270621,0.227962,0.170734,0.149381,0.137753,0.132944,0.131494
79,0.195818,0.183861,0.274711,0.229740,0.182295,0.164459,0.151798,0.143937,0.140089
80,0.197964,0.161962,0.269469,0.212127,0.156506,0.136357,0.124310,0.118982,0.115981
81,0.196943,0.162485,0.268657,0.206718,0.157291,0.137677,0.126879,0.121654,0.118515
82,0.198259,0.162209,0.269957,0.207207,0.155022,0.137067,0.126510,0.121105,0.118594
83,0.195726,0.162952,0.281898,0.207034,0.154808,0.134574,0.124184,0.119604,0.118560
84,0.196404,0.165734,0.272972,0.216015,0.160687,0.139417,0.128216,0.123178,0.119651
85,0.190911,0.167910,0.267037,0.224035,0.165793,0.143502,0.129295,0.123586,0.122119
86,0.196894,0.164546,0.273189,0.211224,0.161917,0.140580,0.127259,0.120387,0.117264
87,0.195938,0.167904,0.267021,0.213730,0.160263,0.143380,0.133757,0.129329,0.127844
88,0.195740,0.165254,0.284808,0.213178,0.159424,0.137967,0.125611,0.119769,0.116022
89,0.195573,0.161135,0.273630,0.209324,0.158146,0.135689,0.122872,0.116148,0.112135
90,0.195193,0.159437,0.277102,0.207278,0.153520,0.132484,0.120143,0.114713,0.110822
91,0.196115,0.166339,0.282098,0.214693,0.160673,0.138583,0.126888,0.122193,0.119248
92,0.194946,0.166271,0.263113,0.211448,0.162627,0.142534,0.131929,0.127491,0.124753
93,0.194238,0.159439,0.268491,0.206257,0.155138,0.134799,0.122825,0.117046,0.111515
94,0.194203,0.163430,0.277223,0.212136,0.161145,0.138152,0.123915,0.117679,0.113762
95,0.188957,0.157157,0.261487,0.203512,0.153012,0.132492,0.120991,0.115760,0.112844
96,0.197757,0.164641,0.263810,0.204652,0.157826,0.141991,0.131698,0.127211,0.125296
97,0.192590,0.164342,0.275121,0.208685,0.159050,0.138337,0.126869,0.122792,0.119543
98,0.190122,0.162769,0.269279,0.212865,0.157705,0.136546,0.125075,0.119828,0.118083
99,0.193817,0.163735,0.295215,0.209393,0.156260,0.134481,0.121658,0.116684,0.112453
100,0.185640,0.162923,0.275880,0.210067,0.157267,0.135238,0.123776,0.120066,0.118167
101,0.185373,0.157480,0.274972,0.202483,0.149585,0.129347,0.119233,0.114826,0.111913
102,0.187970,0.161482,0.278276,0.209661,0.155605,0.133921,0.122111,0.117091,0.113711
103,0.189764,0.160806,0.272581,0.210047,0.153834,0.132439,0.121554,0.118213,0.116976
104,0.189416,0.157182,0.269008,0.205958,0.151767,0.130136,0.118777,0.114137,0.110494
105,0.193686,0.157780,0.276445,0.204524,0.151361,0.130799,0.118163,0.113172,0.109996
106,0.189618,0.164381,0.283391,0.214354,0.157837,0.135826,0.124285,0.118877,0.116095
107,0.186134,0.176301,0.266795,0.221560,0.175106,0.155729,0.142845,0.137957,0.134114
108,0.191708,0.164221,0.269384,0.206888,0.159885,0.141036,0.129433,0.123044,0.119879
109,0.189354,0.160558,0.277350,0.208871,0.156242,0.134653,0.119897,0.114335,0.112557
110,0.190739,0.158066,0.271783,0.203993,0.153241,0.131372,0.119622,0.114672,0.111777
111,0.195860,0.161092,0.269358,0.203364,0.156052,0.137363,0.125970,0.119580,0.115956
112,0.187724,0.163612,0.273184,0.208646,0.158926,0.139317,0.127207,0.121095,0.116909
113,0.188809,0.159801,0.269854,0.207176,0.156027,0.135259,0.121900,0.116550,0.111840
114,0.187439,0.160274,0.274005,0.203763,0.153758,0.133879,0.123228,0.118151,0.115133
115,0.184388,0.163386,0.282387,0.215374,0.159577,0.136876,0.122191,0.115664,0.111634
116,0.185508,0.158739,0.272641,0.205295,0.152275,0.130965,0.120519,0.115912,0.113565
117,0.185908,0.162570,0.284380,0.213774,0.156302,0.133170,0.121539,0.116064,0.112758
118,0.191815,0.160472,0.272771,0.202563,0.155184,0.135886,0.123693,0.118367,0.114841
119,0.186793,0.161945,0.279567,0.210779,0.157850,0.135437,0.120934,0.116087,0.112958
120,0.188938,0.162995,0.278274,0.207462,0.155618,0.135578,0.126125,0.120477,0.117435
121,0.185273,0.159789,0.277779,0.200488,0.151813,0.134377,0.123593,0.116950,0.113524
122,0.182645,0.158899,0.273857,0.198836,0.150472,0.133076,0.123405,0.117534,0.115113
123,0.187135,0.159671,0.280003,0.204170,0.152059,0.132475,0.121611,0.115595,0.111781
124,0.182592,0.157831,0.266943,0.201875,0.152021,0.133149,0.121528,0.116273,0.113029
125,0.179825,0.164724,0.276367,0.208062,0.157472,0.138915,0.128636,0.123106,0.120511
126,0.179751,0.165299,0.268922,0.208717,0.159218,0.142384,0.130755,0.125217,0.121883
127,0.187150,0.161238,0.266333,0.206742,0.156364,0.137812,0.125300,0.119678,0.116436
128,0.181016,0.155588,0.269361,0.200087,0.149727,0.130423,0.117962,0.112902,0.108656
129,0.186284,0.170031,0.265265,0.206595,0.165299,0.150108,0.138908,0.133062,0.130979
130,0.183948,0.158748,0.278278,0.200807,0.151266,0.132539,0.121621,0.115242,0.111483
131,0.183001,0.163540,0.274184,0.207717,0.155832,0.138189,0.127155,0.122697,0.119005
132,0.180321,0.158417,0.271811,0.200404,0.150868,0.133312,0.122360,0.116454,0.113713
133,0.182328,0.158707,0.267010,0.199509,0.151327,0.134738,0.124344,0.118849,0.115172
134,0.179558,0.161129,0.280211,0.206474,0.155600,0.135300,0.122084,0.115903,0.112331
135,0.183560,0.160668,0.266192,0.200931,0.153967,0.138102,0.127131,0.120858,0.117495
136,0.175682,0.168918,0.270065,0.211326,0.161099,0.145045,0.134733,0.131642,0.128519
137,0.182267,0.181576,0.268109,0.209688,0.171239,0.162492,0.154761,0.153475,0.151268
138,0.183117,0.167195,0.271419,0.204001,0.160067,0.144097,0.134411,0.129561,0.126811
139,0.181048,0.157260,0.272868,0.203294,0.151841,0.130515,0.119168,0.113153,0.109979
140,0.184917,0.157905,0.269944,0.200792,0.152612,0.132730,0.120965,0.115770,0.112519
141,0.177528,0.158524,0.278867,0.203006,0.151852,0.130941,0.120057,0.114712,0.110230
142,0.182895,0.159059,0.271454,0.198611,0.151187,0.133956,0.123111,0.119263,0.115833
143,0.175084,0.160000,0.278056,0.202771,0.152432,0.131322,0.121333,0.118309,0.115778
144,0.178920,0.162565,0.284298,0.206574,0.156549,0.134308,0.124180,0.118152,0.113896
145,0.181363,0.172119,0.268877,0.209231,0.165880,0.151326,0.140540,0.136319,0.132663
146,0.183652,0.165399,0.270522,0.205901,0.158838,0.142104,0.130714,0.126982,0.122735
147,0.182641,0.160165,0.270534,0.202537,0.155002,0.135158,0.124603,0.118792,0.114530
148,0.179206,0.161119,0.281991,0.206311,0.154905,0.132751,0.121609,0.116397,0.113870
149,0.180280,0.157598,0.283318,0.201798,0.150046,0.127346,0.117697,0.112478,0.110506
