epoch,train_loss,val_mean_loss,val_0.5s,val_1s,val_2s,val_3s,val_4s,val_5s,val_6s
1,0.600667,0.328718,0.428587,0.373460,0.314492,0.298592,0.285950,0.295448,0.304498
2,0.456758,0.288358,0.398061,0.336083,0.275984,0.257062,0.244990,0.252736,0.253591
3,0.412788,0.306122,0.414534,0.366367,0.287442,0.270144,0.262890,0.266146,0.275329
4,0.395399,0.310541,0.447040,0.367187,0.289506,0.272174,0.259061,0.265703,0.273114
5,0.380404,0.288654,0.438745,0.362105,0.263376,0.243863,0.232669,0.234761,0.245058
6,0.370743,0.242711,0.387549,0.313384,0.221798,0.202512,0.185327,0.189497,0.198908
7,0.345903,0.236640,0.388378,0.291283,0.212543,0.199638,0.186850,0.186628,0.191161
8,0.344487,0.246073,0.363812,0.298453,0.230802,0.216413,0.199994,0.205217,0.207818
9,0.343086,0.239115,0.373372,0.295164,0.219940,0.205425,0.191653,0.193528,0.194722
10,0.330240,0.228253,0.368071,0.279461,0.213055,0.196089,0.178596,0.180572,0.181930
11,0.332710,0.226982,0.349636,0.265931,0.205173,0.203081,0.185641,0.188197,0.191212
12,0.321700,0.229005,0.344672,0.281305,0.215431,0.201546,0.184989,0.185641,0.189451
13,0.317864,0.238570,0.376468,0.307751,0.231437,0.203372,0.183151,0.182521,0.185289
14,0.302291,0.217748,0.336471,0.270132,0.206224,0.191772,0.176601,0.171015,0.172022
15,0.292359,0.216520,0.365831,0.268326,0.198441,0.183531,0.167296,0.163537,0.168680
16,0.295266,0.215602,0.313225,0.263278,0.205353,0.194425,0.178909,0.175616,0.178411
17,0.284707,0.208223,0.307242,0.248191,0.200231,0.189238,0.174015,0.168831,0.169811
18,0.276433,0.206027,0.322136,0.257266,0.194624,0.178305,0.164801,0.159435,0.165621
19,0.280244,0.215046,0.333340,0.274779,0.207242,0.184909,0.170643,0.166859,0.167549
20,0.280734,0.207702,0.314233,0.249909,0.194508,0.186135,0.170835,0.167311,0.170988
21,0.267190,0.195139,0.304588,0.242446,0.187487,0.170145,0.156583,0.153095,0.151628
22,0.269012,0.209285,0.298141,0.233857,0.195431,0.191222,0.182859,0.181731,0.181753
23,0.265463,0.194247,0.308935,0.230394,0.175644,0.166919,0.156557,0.157064,0.164218
24,0.262101,0.214098,0.334107,0.268841,0.213280,0.187553,0.169534,0.161888,0.163482
25,0.251876,0.197832,0.317429,0.240853,0.182059,0.171782,0.158980,0.155108,0.158615
26,0.254648,0.186668,0.303669,0.226980,0.172928,0.157558,0.149283,0.148324,0.147931
27,0.243321,0.196115,0.299535,0.239349,0.186556,0.170801,0.158445,0.157576,0.160546
28,0.253882,0.198512,0.306566,0.249787,0.197491,0.173997,0.157222,0.152800,0.151717
29,0.241179,0.180932,0.300656,0.238194,0.179246,0.153700,0.135905,0.131776,0.127044
30,0.237858,0.183375,0.288663,0.226481,0.176482,0.158539,0.145270,0.144558,0.143633
31,0.235535,0.191108,0.288674,0.225855,0.175670,0.169259,0.160110,0.157278,0.160909
32,0.238458,0.181343,0.296241,0.237098,0.171106,0.151727,0.139344,0.137879,0.136007
33,0.230600,0.179003,0.289928,0.224612,0.165178,0.149236,0.141436,0.139563,0.143068
34,0.232732,0.176892,0.290641,0.227916,0.166864,0.147726,0.138130,0.132129,0.134839
35,0.234865,0.183809,0.288900,0.229719,0.172218,0.158220,0.146863,0.143660,0.147085
36,0.230475,0.187796,0.298931,0.239463,0.180798,0.158889,0.147338,0.144317,0.144837
37,0.243949,0.181459,0.289954,0.236719,0.180660,0.154126,0.139620,0.134018,0.135118
38,0.228494,0.178789,0.296141,0.234844,0.170988,0.149571,0.135857,0.132358,0.131762
39,0.229592,0.193675,0.298672,0.244947,0.182498,0.164604,0.156266,0.153239,0.155502
40,0.229643,0.180117,0.287414,0.229811,0.172927,0.152470,0.140505,0.137507,0.140185
41,0.214320,0.182803,0.296689,0.230771,0.172006,0.154393,0.142422,0.142145,0.141196
42,0.225369,0.193621,0.284201,0.226434,0.179247,0.171861,0.165841,0.163248,0.164516
43,0.220675,0.175499,0.285264,0.226841,0.172041,0.149793,0.135647,0.129429,0.129478
44,0.218999,0.171214,0.283968,0.221191,0.165976,0.144744,0.131182,0.126232,0.125207
45,0.218526,0.162610,0.270152,0.209450,0.157888,0.137677,0.124170,0.120121,0.118815
46,0.221874,0.171449,0.285364,0.223183,0.169129,0.143913,0.130257,0.123403,0.124896
47,0.213515,0.167005,0.268662,0.213011,0.159476,0.140785,0.127618,0.127973,0.131511
48,0.218088,0.175401,0.290872,0.226884,0.169296,0.149158,0.132127,0.129354,0.130117
49,0.218761,0.179081,0.288444,0.231389,0.169104,0.150519,0.138979,0.137180,0.137949
50,0.217879,0.183695,0.280699,0.224803,0.173325,0.161844,0.151054,0.145465,0.148678
51,0.222777,0.166913,0.276815,0.216512,0.162589,0.139095,0.127631,0.123083,0.122665
52,0.221020,0.184867,0.289870,0.234451,0.175627,0.161775,0.149477,0.140523,0.142348
53,0.214623,0.178060,0.276161,0.218362,0.168676,0.155638,0.146555,0.140059,0.140966
54,0.210222,0.164284,0.276737,0.212394,0.159154,0.138852,0.125434,0.120241,0.117177
55,0.209035,0.178325,0.282003,0.222481,0.167335,0.153685,0.142437,0.138760,0.141573
56,0.208182,0.166984,0.285330,0.218641,0.159879,0.140037,0.124491,0.121000,0.119509
57,0.217624,0.183586,0.276361,0.239385,0.173712,0.160923,0.149868,0.143294,0.141559
58,0.207702,0.178090,0.295818,0.227375,0.168745,0.149292,0.136104,0.134090,0.135207
59,0.207176,0.174530,0.274555,0.215382,0.166203,0.151744,0.142170,0.136385,0.135271
60,0.214829,0.189971,0.284932,0.228546,0.178210,0.170475,0.157642,0.154278,0.155714
61,0.209242,0.190600,0.277236,0.223512,0.185622,0.174057,0.161365,0.156846,0.155562
62,0.206353,0.160785,0.266524,0.202092,0.154540,0.138114,0.125461,0.120346,0.118416
63,0.209067,0.167008,0.261659,0.205343,0.158674,0.144050,0.135031,0.130884,0.133414
64,0.216518,0.181787,0.274808,0.222876,0.170201,0.158692,0.153757,0.144420,0.147757
65,0.204609,0.170217,0.289168,0.219104,0.164583,0.142255,0.129451,0.124891,0.122065
66,0.208419,0.166186,0.287302,0.217408,0.160317,0.139282,0.124912,0.118181,0.115903
67,0.204622,0.168471,0.286902,0.215547,0.159617,0.141899,0.128309,0.124321,0.122704
68,0.203072,0.163394,0.276339,0.212116,0.157805,0.136785,0.124578,0.118657,0.117475
69,0.203912,0.175750,0.297949,0.224452,0.165453,0.148337,0.135871,0.129817,0.128371
70,0.205726,0.167887,0.272780,0.214635,0.162457,0.142780,0.131457,0.126200,0.124899
71,0.205340,0.166156,0.297580,0.214335,0.157246,0.136131,0.123173,0.118458,0.116168
72,0.202937,0.165661,0.274451,0.204861,0.156368,0.141047,0.131084,0.126584,0.125229
73,0.206152,0.169135,0.268157,0.204930,0.166046,0.147485,0.137096,0.130652,0.129581
74,0.206131,0.173533,0.276250,0.210926,0.167141,0.150852,0.140255,0.135840,0.133466
75,0.204064,0.172186,0.278370,0.216071,0.164220,0.151540,0.136481,0.129525,0.129096
76,0.206093,0.161050,0.271335,0.204057,0.154788,0.137060,0.125333,0.118079,0.116696
77,0.204655,0.162808,0.289481,0.211199,0.156474,0.134761,0.120737,0.114669,0.112332
78,0.200401,0.161715,0.271782,0.206648,0.154502,0.136266,0.125057,0.119575,0.118173
79,0.199886,0.164910,0.278094,0.210802,0.158058,0.139219,0.127427,0.120986,0.119780
80,0.201821,0.161072,0.274890,0.205886,0.157322,0.136177,0.121965,0.116496,0.114769
81,0.206381,0.169292,0.288953,0.220465,0.161940,0.142383,0.131322,0.121979,0.118004
82,0.194211,0.158590,0.260833,0.202484,0.156363,0.136714,0.122023,0.116491,0.115224
83,0.204267,0.158540,0.273213,0.205863,0.151821,0.132915,0.119881,0.114677,0.111408
84,0.202629,0.191194,0.284710,0.229669,0.187749,0.171218,0.159292,0.152496,0.153225
85,0.204017,0.160637,0.267110,0.207211,0.156902,0.136123,0.123780,0.118128,0.115204
86,0.199942,0.166900,0.285921,0.214696,0.159966,0.138517,0.126341,0.121477,0.121381
87,0.195241,0.159446,0.269618,0.203092,0.155190,0.134270,0.120522,0.117292,0.116136
88,0.193959,0.160726,0.264326,0.205427,0.160812,0.138561,0.123855,0.117419,0.114679
89,0.194165,0.159782,0.272150,0.202524,0.155585,0.134101,0.121537,0.116911,0.115662
90,0.199061,0.166577,0.265302,0.201644,0.160165,0.146970,0.135046,0.129585,0.127331
91,0.199570,0.167140,0.278572,0.217434,0.161822,0.140996,0.127785,0.122671,0.120702
92,0.193853,0.160981,0.274047,0.204368,0.156181,0.136338,0.122484,0.116712,0.116739
93,0.204184,0.155856,0.263652,0.196407,0.149650,0.132977,0.120378,0.115721,0.112208
94,0.195193,0.164112,0.289331,0.213730,0.156619,0.135517,0.121757,0.117514,0.114315
95,0.197740,0.163672,0.275399,0.201318,0.156840,0.139894,0.127566,0.123391,0.121298
96,0.194118,0.164390,0.276890,0.207532,0.158372,0.137987,0.128533,0.122523,0.118891
97,0.196206,0.167446,0.270728,0.213427,0.162256,0.144019,0.132577,0.125241,0.123873
98,0.195137,0.159934,0.273184,0.201900,0.152603,0.134784,0.122928,0.117984,0.116155
99,0.189610,0.163896,0.266399,0.211470,0.161359,0.141314,0.127546,0.120950,0.118232
100,0.192950,0.161160,0.261536,0.203025,0.156997,0.139072,0.127165,0.121576,0.118750
101,0.191975,0.163763,0.269952,0.209437,0.161143,0.139619,0.127280,0.120609,0.118304
102,0.192030,0.157477,0.269553,0.205884,0.150003,0.130686,0.119454,0.114451,0.112308
103,0.196538,0.169433,0.264422,0.209805,0.166279,0.148547,0.137268,0.130901,0.128811
104,0.194884,0.159156,0.257977,0.198972,0.156199,0.138213,0.125824,0.120338,0.116572
105,0.193473,0.161300,0.260053,0.202841,0.156125,0.139824,0.128184,0.122227,0.119849
106,0.191363,0.155754,0.274905,0.197179,0.149564,0.130124,0.117955,0.111840,0.108711
107,0.192035,0.158945,0.263410,0.203769,0.154393,0.134725,0.122206,0.118575,0.115536
108,0.188987,0.158415,0.269835,0.206275,0.154338,0.133897,0.119882,0.114510,0.110163
109,0.191498,0.167931,0.261017,0.207966,0.164875,0.147737,0.136381,0.130743,0.126798
110,0.189104,0.159245,0.275121,0.199878,0.153737,0.134064,0.122153,0.116710,0.113056
111,0.190016,0.156862,0.267006,0.200694,0.150900,0.131826,0.120426,0.115203,0.111982
