epoch,train_loss,val_mean_loss,val_0.5s,val_1s,val_2s,val_3s,val_4s,val_5s,val_6s
1,0.745957,0.294652,0.430162,0.347801,0.278871,0.254437,0.241555,0.249145,0.260589
2,0.495257,0.388920,0.465381,0.423660,0.386132,0.370016,0.357972,0.359965,0.359312
3,0.490589,0.297746,0.390714,0.335529,0.293205,0.275593,0.262983,0.263318,0.262883
4,0.445194,0.278078,0.404474,0.343940,0.265807,0.241748,0.229549,0.227404,0.233625
5,0.429636,0.273670,0.372119,0.317616,0.262143,0.250257,0.237587,0.237957,0.238011
6,0.396111,0.267610,0.406542,0.326026,0.249399,0.228993,0.217468,0.219614,0.225230
7,0.366415,0.222871,0.353908,0.263380,0.201372,0.194143,0.181374,0.181138,0.184783
8,0.352131,0.232155,0.389031,0.300239,0.214516,0.192087,0.177131,0.175173,0.176907
9,0.338167,0.258813,0.378364,0.330247,0.252066,0.226287,0.210492,0.207512,0.206723
10,0.335895,0.223487,0.347799,0.288355,0.214794,0.192302,0.175526,0.172460,0.173176
11,0.310169,0.214383,0.345655,0.274039,0.197824,0.180819,0.168284,0.166213,0.167849
12,0.309050,0.257803,0.379724,0.328064,0.259465,0.230058,0.206591,0.200504,0.200215
13,0.300052,0.214026,0.340204,0.280088,0.206807,0.182339,0.165409,0.161519,0.161816
14,0.299442,0.211578,0.328916,0.263398,0.195472,0.182818,0.168356,0.168418,0.173669
15,0.286545,0.191189,0.299557,0.238291,0.176115,0.161805,0.152986,0.151519,0.158049
16,0.270747,0.191483,0.312787,0.244008,0.179408,0.163734,0.149774,0.144648,0.146022
17,0.276183,0.202413,0.302596,0.253782,0.192587,0.176852,0.165759,0.161656,0.163661
18,0.265023,0.206265,0.321737,0.278843,0.192007,0.174808,0.160274,0.157575,0.158608
19,0.264663,0.191645,0.293024,0.242040,0.181467,0.167383,0.155376,0.150634,0.151592
20,0.260633,0.182927,0.282949,0.230931,0.175033,0.159645,0.148464,0.142471,0.140993
21,0.255198,0.186182,0.278511,0.229859,0.178975,0.166410,0.154494,0.148186,0.146841
22,0.250086,0.180103,0.282876,0.222964,0.172295,0.157386,0.145296,0.140112,0.139793
23,0.249820,0.181786,0.278878,0.226115,0.174568,0.159399,0.147384,0.143545,0.142616
24,0.244913,0.190574,0.295899,0.249442,0.182694,0.166850,0.151652,0.145338,0.142141
25,0.239889,0.178345,0.287588,0.231849,0.171020,0.152177,0.138731,0.133868,0.133185
26,0.236458,0.176659,0.281890,0.223487,0.168038,0.152248,0.141134,0.135571,0.134247
27,0.242336,0.180979,0.266439,0.215052,0.174626,0.163254,0.152838,0.148049,0.146594
28,0.240837,0.184769,0.293466,0.233881,0.177405,0.160406,0.147540,0.141262,0.139421
29,0.237429,0.196559,0.283884,0.247889,0.195186,0.176532,0.163338,0.156861,0.152223
30,0.235808,0.173971,0.291046,0.224490,0.168241,0.147671,0.133287,0.127045,0.126019
31,0.231763,0.176661,0.279374,0.218903,0.171306,0.155162,0.142434,0.135791,0.133655
32,0.221040,0.177247,0.281560,0.236866,0.172409,0.152339,0.137957,0.130395,0.129204
33,0.226434,0.172741,0.282485,0.222402,0.167769,0.148365,0.134582,0.127939,0.125642
34,0.224970,0.168243,0.280531,0.216570,0.161447,0.145409,0.130269,0.122986,0.120492
35,0.228433,0.172291,0.288097,0.214660,0.163381,0.148122,0.135144,0.129376,0.127257
36,0.220662,0.179678,0.287582,0.233601,0.170106,0.155783,0.141564,0.135257,0.133851
37,0.223279,0.211883,0.279616,0.240682,0.208284,0.196942,0.189808,0.184714,0.183133
38,0.218803,0.172696,0.268464,0.213326,0.168271,0.152371,0.140043,0.135614,0.130780
39,0.221745,0.172208,0.266718,0.215210,0.170163,0.153101,0.139515,0.132515,0.128237
40,0.211253,0.169418,0.290788,0.218723,0.161997,0.143310,0.129135,0.122169,0.119805
41,0.218214,0.163876,0.271676,0.208634,0.160333,0.140464,0.127045,0.121075,0.117908
42,0.215267,0.173693,0.277349,0.232607,0.165403,0.146569,0.133944,0.130314,0.129669
43,0.218316,0.188378,0.294990,0.249232,0.187283,0.159473,0.146124,0.139568,0.141975
44,0.210352,0.164893,0.275545,0.219175,0.157818,0.138392,0.126831,0.119624,0.116863
45,0.212243,0.190493,0.276879,0.235135,0.186608,0.170361,0.159110,0.152167,0.153188
