epoch,train_loss,val_mean_loss,val_0.5s,val_1s,val_2s,val_3s,val_4s,val_5s,val_6s
67,0.209283,0.164067,0.274968,0.203117,0.152904,0.141314,0.129274,0.124928,0.121961
68,0.206569,0.172564,0.271279,0.211298,0.165336,0.151671,0.140574,0.135021,0.132767
69,0.201676,0.168967,0.266719,0.213701,0.165449,0.148324,0.135135,0.128502,0.124935
70,0.201373,0.161996,0.266557,0.206372,0.153723,0.139706,0.128227,0.122376,0.117010
71,0.204683,0.169554,0.281539,0.210991,0.159126,0.145028,0.134845,0.129053,0.126295
72,0.204302,0.165313,0.273539,0.206286,0.154206,0.139219,0.130211,0.127754,0.125975
73,0.205343,0.169643,0.268062,0.212897,0.164010,0.146403,0.138558,0.131250,0.126320
74,0.200796,0.161628,0.275305,0.204703,0.153114,0.135728,0.125674,0.120333,0.116536
75,0.202173,0.159152,0.265107,0.201176,0.152917,0.136336,0.125263,0.118616,0.114648
76,0.208937,0.158740,0.270874,0.206377,0.152087,0.133715,0.120495,0.116051,0.111581
77,0.199129,0.168216,0.261594,0.206178,0.159878,0.147911,0.137062,0.133280,0.131609
78,0.202243,0.161159,0.266025,0.202299,0.152065,0.135367,0.126291,0.124388,0.121679
79,0.203299,0.162364,0.280987,0.209355,0.154582,0.135048,0.123108,0.119057,0.114411
80,0.201748,0.159541,0.272725,0.203830,0.153752,0.134532,0.121732,0.116340,0.113875
81,0.200594,0.165295,0.276912,0.215379,0.160261,0.139601,0.126392,0.120502,0.118015
82,0.196607,0.158596,0.270147,0.200343,0.150610,0.131757,0.122099,0.118229,0.116989
83,0.200255,0.167503,0.288289,0.214408,0.162304,0.144457,0.128596,0.118530,0.115935
84,0.197668,0.160795,0.274422,0.209582,0.154631,0.134308,0.121629,0.116566,0.114430
85,0.203293,0.166506,0.285344,0.210783,0.159839,0.141180,0.129028,0.122023,0.117346
86,0.198158,0.165376,0.289835,0.216166,0.159794,0.137603,0.123444,0.116837,0.113956
87,0.200592,0.159106,0.267136,0.200308,0.152119,0.135143,0.125362,0.118546,0.115127
88,0.200214,0.162683,0.274732,0.205345,0.155970,0.137243,0.125964,0.121801,0.117728
89,0.200042,0.154192,0.257970,0.197197,0.149239,0.131570,0.119451,0.114283,0.109636
90,0.195401,0.170199,0.257796,0.215605,0.166076,0.151312,0.138828,0.133177,0.128602
91,0.198826,0.163508,0.261347,0.200825,0.156168,0.142065,0.132774,0.127415,0.123964
92,0.195352,0.161028,0.270833,0.206769,0.153653,0.134632,0.124353,0.119782,0.117172
93,0.194558,0.159857,0.263276,0.204214,0.153570,0.136740,0.125279,0.119749,0.116167
94,0.191286,0.171396,0.268414,0.215267,0.167688,0.150646,0.139308,0.131174,0.127273
95,0.200696,0.181782,0.274254,0.214051,0.169489,0.162428,0.154816,0.150352,0.147085
96,0.202218,0.159987,0.275709,0.200676,0.154587,0.133678,0.121634,0.118431,0.115198
97,0.195117,0.157309,0.263828,0.197927,0.152146,0.132491,0.123030,0.118417,0.113321
98,0.193950,0.159031,0.264617,0.198994,0.153383,0.136084,0.124270,0.119309,0.116557
99,0.197945,0.157486,0.258493,0.199767,0.153122,0.133649,0.123441,0.118029,0.115902
100,0.191312,0.155433,0.264012,0.197715,0.148204,0.130177,0.120187,0.115560,0.112173
101,0.192689,0.178264,0.307533,0.228196,0.168218,0.149381,0.138251,0.130767,0.125504
102,0.196727,0.159376,0.273958,0.206154,0.152466,0.132360,0.121580,0.115555,0.113558
103,0.194647,0.154498,0.264889,0.197334,0.147180,0.128419,0.118690,0.114117,0.110859
104,0.192158,0.164528,0.258501,0.208103,0.159186,0.143663,0.133244,0.127133,0.121867
105,0.192778,0.167982,0.275105,0.208292,0.159935,0.143496,0.133318,0.128770,0.126960
106,0.190385,0.164240,0.282997,0.206329,0.156872,0.137060,0.126737,0.121954,0.117729
107,0.195634,0.165251,0.275661,0.201932,0.154384,0.141475,0.132290,0.127271,0.123746
108,0.192885,0.158621,0.271675,0.202093,0.147934,0.130340,0.121992,0.119806,0.116509
109,0.193328,0.154988,0.269552,0.196641,0.147033,0.128562,0.117248,0.114805,0.111073
110,0.197425,0.152718,0.265776,0.194041,0.143885,0.127189,0.117410,0.112621,0.108103
111,0.190385,0.154816,0.267140,0.195098,0.146523,0.129479,0.119152,0.115367,0.110952
112,0.187620,0.160924,0.293035,0.207948,0.149169,0.130295,0.119502,0.115447,0.111071
113,0.194755,0.167887,0.270777,0.204364,0.160620,0.143698,0.135459,0.131269,0.129025
114,0.189006,0.161388,0.274045,0.207351,0.155107,0.134324,0.122415,0.119625,0.116849
115,0.197332,0.161498,0.281212,0.200329,0.153079,0.135432,0.125440,0.119458,0.115537
116,0.195200,0.171984,0.305518,0.234223,0.167546,0.140640,0.125002,0.117910,0.113053
117,0.186797,0.155692,0.275572,0.200571,0.146960,0.128334,0.117437,0.112343,0.108629
118,0.187219,0.155696,0.271196,0.198296,0.146575,0.129230,0.119080,0.114565,0.110927
